
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
#From:GW_WAN_BIGPOND_USERNAME_INVALID,A Big Pond user name MUST be specified
GW_WAN_BIGPOND_USERNAME_INVALID,Se ha de especificar un nombre de usuario Big Pond
#From:KR76,For example, 192.168.0.101.
KR76,Por ejemplo, 192.168.0.101.
#From:GW_DHCPSERVER_EXHAUSTED,The DHCP server can offer no more IP addresses because all available addresses are in use. Increase the number of available IP addresses on the DHCP server configuration.
GW_DHCPSERVER_EXHAUSTED,El servidor DHCP no puede ofrecer más direcciones IP porque todas las direcciones disponibles se están usando. Aumente el número de direcciones IP disponibles en la configuración del servidor DHCP.
#From:GW_WAN_L2TP_SERVER_IP_ADDRESS_INVALID,Invalid L2TP server IP address: %v
GW_WAN_L2TP_SERVER_IP_ADDRESS_INVALID,La dirección IP del servidor L2TP no es válida: %v
#From:wwl.alert.pv5.2,WEP password must be exactly 13 alphanumeric characters.
wwl.alert.pv5.2,La contraseña WEP ha de tener exactamente 13 caracteres alfanuméricos.
#From:wwl.alert.pv5.2_5,WEP password must be exactly 5 alphanumeric characters.
wwl.alert.pv5.2_5,La contraseña WEP ha de tener exactamente 5 caracteres alfanuméricos.
#From:GW_ROUTES_SUBNET_INVALID,Route subnet %v is invalid
GW_ROUTES_SUBNET_INVALID,La ruta de la subred %v no es válida
#From:.aa.bsecure.drugs,Drugs
.aa.bsecure.drugs,Drogas
#From:LW1,IP address cannot be the same as LAN IP address of the router.
LW1,La dirección IP no puede ser la misma que la dirección IP de la LAN del router.
#From:GW_DHCPSERVER_EXPIRED,A network computer never renewed its 'lease' of %v and has lost its right to use that address. If the device continues to use that address it may cause IP address conflicts.
GW_DHCPSERVER_EXPIRED,Un ordenador de red no ha renovado su «arrendamiento»de %v y ha perdido el derecho a usar esa dirección. Si el dispositivo sigue usando esa dirección, puede crear conflictos de dirección IP.
#From:GW_INET_ACL_IP_ADDRESS_IN_LAN_SUBNET_INVALID,IP address %v should be within LAN subnet (%v).
GW_INET_ACL_IP_ADDRESS_IN_LAN_SUBNET_INVALID,La dirección IP %v debe estar dentro de la subred de la LAN (%v).
#From:bd.NETBIOS_REG_TYPE_B,Broadcast only (use when no WINS servers configured)
bd.NETBIOS_REG_TYPE_B,Solo difusión (usar cuando no hay servidores WINS configurados)
#From:.aa.bsecure.financial,Financial
.aa.bsecure.financial,Finanzas
#From:YM135,The NAT forwards incoming connection requests to a LAN-side host only when they come from the same IP address with which a connection was established. This allows the remote application to send data back through a port different from the one used when the outgoing session was created.
YM135,La NAT envía peticiones de conexión entrante a un host del lado LAN solo cuando provienen de la misma dirección IP con la que se ha establecido la conexión. Esto permite a la aplicación remota enviar datos a través de un puerto distinto al usado cuando se creó la sesión saliente.
#From:LT119,Invalid DHCP Server Start IP Range
LT119,El rango de IP inicio del servidor DHCP no es válido
#From:.vs.public,Public
.vs.public,Público
#From:KR93,B-Node, this indicates to use local network broadcast ONLY. This setting is useful where there are no WINS servers available, however, it is preferred you try M-Node operation first.
KR93,B-Node indica que SOLO se usa la difusión de red local. Este parámetro es útil cuando no hay servidores WINS disponibles; sin embargo, es mejor que primero pruebe el funcionamiento M-Node.
#From:GW_SECURE_REMOTE_ADMINSTRATION,Gateway remote administration enabled on port: %u
GW_SECURE_REMOTE_ADMINSTRATION,Administración remota del gateway habilitada en puerto: %u
#From:.aa.bsecure.employment,Employment
.aa.bsecure.employment,Empleo
#From:YM160,The IP address and, where appropriate, port number of the computer that originated a network connection.
YM160,La dirección IP y, donde corresponde, el número de puerto del ordenador que ha originado una conexión de red.
#From:LS423,Assigned IP
LS423,IP asignada
#From:GW_WAN_L2TP_GATEWAY_IN_SUBNET_INVALID,L2TP Gateway IP address %v must be within the WAN subnet.
GW_WAN_L2TP_GATEWAY_IN_SUBNET_INVALID,La dirección IP del gateway L2TP %v ha de estar dentro de la subred de la WAN.
#From:GW_WISH_RULES_HOST1_IP,'%s': Host 1 IP start, %v, must be less than host 1 IP end, %v
GW_WISH_RULES_HOST1_IP,%s': la primera IP del host 1, %v, ha de ser menor que la última IP del host 1, %v
#From:.vs.private,Private
.vs.private,Privado
#From:KR86,This setting has no effect if the 'Learn NetBIOS information from WAN' is activated.
KR86,Este parámetro no es efectivo si «Conocer información NetBIOS desde la WAN» está activado.
#From:bd.NETBIOS_SEC_WINS,Secondary WINS IP Address
bd.NETBIOS_SEC_WINS,Dirección IP del WINS secundario
#From:GW_INET_ACL_START_IP_ADDRESS_INVALID,Start IP address must be less than end IP address: %v-%v.
GW_INET_ACL_START_IP_ADDRESS_INVALID,La dirección IP inicio ha de ser menor que la dirección IP final: %v-%v.
#From:auth,Authentication
auth,Autentificación
#From:KR24,Can not stop the process
KR24,No se puede detener el proceso
#From:KR17,5GHz
KR17,5 GHz
#From:YM84,Host 2 IP Range
YM84,Rango IP del host 2
#From:help88,A QoS Engine Rule identifies a specific message flow and assigns a priority to that flow.
help88,Una regla de QoS Engine identifica un flujo de mensaje específico y le asigna una prioridad.
#From:LW50,Enabling this option (the default setting) enables single VPN connections to a remote host. (But, for multiple VPN connections, the appropriate VPN ALG must be used.) Disabling this option, however, only disables VPN if the appropriate VPN ALG is also disabled.
LW50,Al habilitar esta opción (parámetro por defecto), se habilita una única conexión VPN a un host remoto. (Pero, para múltiples conexiones VPN, ha de usarse el ALG VPN apropiado.) Al deshabilitar esta opción, no obstante, solo se deshabilita la VPN si también se deshabilita el ALG VPN apropiado.
#From:YM103,Invalid PPPoE IP address
YM103,La dirección IP PPPoE no es válida
#From:KR64,In bridge mode, the device still supports several features not available in ordinary bridges -- features that involve the WAN side of the upstream router.
KR64,En modo bridge, el dispositivo admite varias características que no están disponibles en los bridges corrientes, características relacionadas con el lado WAN del router ascendente.
#From:help361,Performance enhancing features such as Packet Bursting, FastFrames, and Compression.
help361,El rendimiento mejora características como la ráfaga de paquetes, FastFrames y la compresión .
#From:LW4,Wi-Fi Protected Setup
LW4,Wi-Fi Protected Setup
#From:KR38,PIN
KR38,PIN
#From:GW_WLAN_11A_STATIC_TURBO_INVALID,For 11a Static Turbo mode, channel should be set to one of 42,50,58,152, or 160.
GW_WLAN_11A_STATIC_TURBO_INVALID,En modo Turbo Static 11a, el canal debe ser uno de los valores: 42, 50, 58, 152 o 160.
#From:help358,Super G" Mode
help358,Modo Super G"
#From:YM6,You do not have permissions to perform the specified action.
YM6,No tiene permisos para llevar a cabo la acción especificada.
#From:.aa.bsecure.categ.select,Categories Selection
.aa.bsecure.categ.select,Selección de categorías
#From:YM58,Priority must be a number between 1 and 255 inclusive.
YM58,La prioridad ha de ser un número comprendido entre 1 y 255 inclusive.
#From:.aa.bsecure.age.youth,Youth (13-17)
.aa.bsecure.age.youth,Joven (13-17)
#From:LW17,Click <strong>Add Wireless Device Wizard</strong> to use Wi-Fi Protected Setup to add wireless devices to the wireless network.
LW17,Haga clic en <strong>Asistente para añadir dispositivos inalámbricos</strong> para usar Wi-Fi Protected Setup a fin de añadir dispositivos inalámbricos a la red inalámbrica.
#From:YM18,Invalid Destination IP End address for Port Filter
YM18,La dirección IP final de destino para el filtro de puerto no es válida
#From:LT210,WPA2-PSK/AES (also known as WPA2 Personal)
LT210,WPA2-PSK/AES (también llamada WPA2 Personal)
#From:GW_WAN_IDLE_TIME_INVALID,Invalid Idle Time (the permitted range is %u to %u)
GW_WAN_IDLE_TIME_INVALID,El tiempo de inactividad no es válido (el rango permitido es de %u a %u)
#From:YM186,Multicast Group Address
YM186,Dirección del grupo de multidifusión
#From:.aa.bsecure.sports,Sports
.aa.bsecure.sports,Deportes
#From:GW_QOS_RULES_NAME_ALREADY_USED,Name '%s' is already used.
GW_QOS_RULES_NAME_ALREADY_USED,El nombre '%s' ya está en uso.
#From:bwz.intro.WCNWz,The following wizard uses Microsoft's Windows Connect Now technology to automatically configure the wireless settings on your Router. Make sure that you have sucessfully run Microsoft's Network Wireless Configuarion Wizard on your computer before using this feature.
bwz.intro.WCNWz,El siguiente asistente usa la tecnología Windows Connect Now de Microsoft para configurar automáticamente los parámetros inalámbricos en el router. Asegúrese de que ha ejecutado correctamente el asistente de configuración inalámbrica de red  de Microsoft en su ordenador antes de usar esta característica.
#From:GW_DHCP_SERVER_POOL_TO_IN_SUBNET_INVALID,DHCP server pool TO %v is not in LAN subnet %v.
GW_DHCP_SERVER_POOL_TO_IN_SUBNET_INVALID,La tabla del servidor DHCP para %v no está en la subred de la LAN %v.
#From:GW_NAT_H323_ALG_ACTIVATED_WARNING,<warn>The H.323 has been automatically enabled because a virtual server entry you created requires it.</warn>
GW_NAT_H323_ALG_ACTIVATED_WARNING,<warn>H.323 se ha habilitado automáticamente porque lo requiere una entrada de servidor virtual creada por usted.</warn>
#From:LT120y,Invalid Primary WINS IP
LT120y,La IP del WINS primario no es válida
#From:KR103,The Wi-Fi Protected Setup Network Settings have been saved successfully.
KR103,Los parámetros de red Wi-Fi Protected Setup se han guardado correctamente.
#From:YM44,Calista IP phone
YM44,Teléfono IP Calista
#From:LW47,If you consider yourself an advanced user and have configured a wireless router before, click <strong>Manual Wireless Network Setup</strong> to input all the settings manually.
LW47,Si se considera un usuario avanzado y ha configurado anteriormente un router inalámbrico, haga clic en <strong>Configuración manual de red inalámbrica</strong> para introducir todos los parámetros manualmente.
#From:GW_XML_CONFIG_GET_FAILED,Failed to export configuration file #%u
GW_XML_CONFIG_GET_FAILED,Ha fallado la exportación del archivo de configuración #%u
#From:WIFISC_AP_SET_APSETTINGS_COMPLETE,SetAPSettings by (%s) complete
WIFISC_AP_SET_APSETTINGS_COMPLETE,SetAPSettings por (%s) completado
#From:wwl.WKL,Wep Key Length
wwl.WKL,Longitud de la clave WEP
#From:YM168,Communication with the router failed
YM168,La comunicación con el router ha fallado
#From:GW_NAT_NAME_USED_INVALID,Name '%s' is already used.
GW_NAT_NAME_USED_INVALID,El nombre '%s' ya está en uso.
#From:GW_DYNDNS_SERVER_INDEX_VALUE_INVALID,invalid server index value: %d
GW_DYNDNS_SERVER_INDEX_VALUE_INVALID,El valor de índice del servidor %d no es válido
#From:WARN,[WARN]
WARN,[AVISAR]
#From:LW23,Enterprise
LW23,Empresa
#From:ADVANCED_NETWORK,Advanced Network
ADVANCED_NETWORK,Red avanzada
#From:GW_WAN_PPTP_PASSWORD_INVALID,A PPTP password MUST be specified
GW_WAN_PPTP_PASSWORD_INVALID,Se ha de especificar una contraseña PPTP
#From:LW59,Restore the default PIN of the router.
LW59,Restaurar el PIN por defecto del router.
#From:YM126,If you have enabled Wireless Security, make sure you write down the Key or Passphrase that you have configured. You will need to enter this information on any wireless device that you connect to your wireless network.
YM126,Si ha habilitado la seguridad inalámbrica, asegúrese de de que ha tomado nota de la clave o frase secreta que ha configurado. Necesitará introducir esta información en todos los dispositivos inalámbricos que conecte a su red inalámbrica.
#From:LW66,Enabled/Configured
LW66,Habilitado/configurado
#From:.r.alert4,Invalid Interface for route
.r.alert4,La interfaz para la ruta no es válida
#From:LY10,Add Wireless Station
LY10,Añadir estación inalámbrica
#From:GW_DHCP_SERVER_POOL_FROM_INVALID,The DHCP server start address %v is not valid in the LAN subnet %v.
GW_DHCP_SERVER_POOL_FROM_INVALID,La dirección inicio del servidor DHCP %v no es válida en la subred de la LAN %v.
#From:WIFISC_AP_SETUP_LOCKED,Lock AP setup
WIFISC_AP_SETUP_LOCKED,Bloquear configuración del punto de acceso
#From:YM91,Do you want to abandon changes you made to the current entry?
YM91,¿Quiere desechar los cambios realizados en la entrada actual?
#From:WIFISC_AP_SET_SELECTED_REGISTRAR_FAIL,Set Selected Registrar failed, reason (%s), err_code (%u)
WIFISC_AP_SET_SELECTED_REGISTRAR_FAIL,Ha fallado el establecimiento del registrador seleccionado, razón (%s), err_code (%u)
#From:LS3,Nothing has changed, save anyway?
LS3,No ha cambiado nada, ¿quiere guardar?
#From:GW_NAT_UNKNOWN,Unknown
GW_NAT_UNKNOWN,Desconocido
#From:GW_WLAN_11A_DYNAMIC_TURBO_INVALID,For 11a Dynamic Turbo mode, channel should be set to one of 40,48,56,153, or 161.
GW_WLAN_11A_DYNAMIC_TURBO_INVALID,En modo Turbo Dynamic 11a, el canal debe ser uno de los valores: 40, 48, 56, 153 o 161.
#From:YM163,Note that, even when NTP Server is enabled, you must still choose a time zone and set the daylight saving parameters.
YM163,Tenga en cuenta que, incluso cuando el servidor NTP está habilitado, ha de elegir una zona horaria y definir los parámetros del horario de verano.
#From:YM181,To use this feature, you must first have a Dynamic DNS account from one of the providers in the drop down menu.
YM181,Para usar esta característica, ha de disponer de una cuenta de DNS dinámico con uno de los proveedores que figuran en el menú desplegable.
#From:.cantapplysettings.1,Insufficient Permission
.cantapplysettings.1,Permiso insuficiente
#From:YM11,Warnings:
YM11,Avisos:
#From:wwl.wsp.chars.2,(8 to 64 characters)
