
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From:help176,The section lists the current Inbound Filter Rules. An Inbound Filter Rule can be changed by clicking the Edit icon, or deleted by clicking the Delete icon. When you click the Edit icon, the item is highlighted, and the "Update Inbound Filter Rule" section is activated for editing.
help176,Questa sezione elenca le regole correnti per i filtri in entrata. Una regola di un filtro in entrata può essere modificata o cancellata, cliccando rispettivamente sull'icona Modifica o Cancella. Cliccando sull'icona Modifica, la voce viene evidenziata e il sistema attiva la sezione "Aggiorna regola filtro in entrata".
#From:GW_PURE_ADDPORTMAPPING_CREATE,HNAP AddPortMapping created %dth virtual server entry '%s' %v:%d<->%v:%d %S
GW_PURE_ADDPORTMAPPING_CREATE,HNAP AddPortMapping creato %dth voce server virtuale '%s' %v:%d<->%v:%d %S
#From:hhag.30,Select a schedule for when the rule will be enabled. If you do not see the schedule you need in the list of schedules, go to the <a href="../Tools/Schedules.shtml" onclick="return jump_if();">Tools &rarr; Schedules</a> screen and create a new schedule.
hhag.30,Selezionare una pianificazione per l'abilitazione della regola. Se la pianificazione necessaria non è presente nell'elenco, accedere alla pagina <a href="../Tools/Schedules.shtml" onclick="return jump_if();">Strumenti &rarr; Pianificazioni</a> e crearne una nuova.
#From:hhai.save,Click the <strong>Add</strong> or <strong>Update</strong> button to store a finished rule in the Rules List below.
hhai.save,Cliccare sul pulsante <strong>Aggiungi</strong> per memorizzare una regola e inserirla nel seguente elenco.
#From:ADMIN,Administrator
ADMIN,Amministratore
#From:wprn.s1a,The following printer has been detected. Click <em>Next</em> to install the printer onto your computer.
wprn.s1a,? stata individuata la seguente stampante. Cliccare su <em>Avanti</em> per installare la stampante sul computer.
#From:sl.alert.3,Email notification is not enabled.
sl.alert.3,Notifica per posta elettronica non abilitata.
#From:help900,After configuring the router for dynamic DNS, you can open a browser and navigate to the URL for your domain (for example <code>http://www.mydomain.info</code>) and the router will attempt to forward the request to port 80 on your LAN. If, however, you do this from a LAN-side computer and there is no virtual server defined for port 80, the router will return the router's configuration home page. Refer to the <a href="../Advanced/Virtual_Server.shtml">Advanced?&rarr;?Virtual&nbsp;Server</a> configuration page to set up a a virtual server.
help900,Dopo avere configurato il router con un server DNS dinamico, è possibile aprire il browser e accedere all'URL del proprio dominio (per esempio <code>http://www.mydomain.info</code>). Il router tenter? di inoltrare la richiesta alla porta 80 della LAN. Se si esegue questa operazione da un computer della LAN e non c'è un server virtuale definito sulla porta 80, il router ritorna alla pagina home dell'interfaccia di configurazione. Per configurare un server virtuale, utilizzare la pagina <a href="../Advanced/Virtual_Server.shtml">Avanzate?&rarr;?Server virtuale</a>.
#From:tps.foo2,The printer's IP address and queue name are shown <a href="../Status/PS.shtml" onclick="return jump_if();">here</a>.
tps.foo2,In <a href="../Status/PS.shtml" onclick="return jump_if();">questo punto</a> vengono visualizzati l'indirizzo IP della stampante e il nome della coda.
#From:help182,This setting should remain at its default value of 2346 bytes.
help182,Questa impostazione dovrebbe mantenere il valore di default, corrispondente a 2346.
#From:aa.alert.12,IP address should be in LAN subnet.
aa.alert.12,L'indirizzo IP deve appartenere alla sottorete di LAN.
#From:tf.intro.FWCh,To check for the latest firmware, click the [Check Online Now...] button.
tf.intro.FWCh,Per verificare l'ultimo aggiornamento firmware, cliccare sul pulsante [Verifica online adesso...].
#From:ts.ss,Save To Local Hard Drive
ts.ss,Salva sul disco fisso locale
#From:wwa.title.set.pptp,Set Username and Password Connection (PPTP)
wwa.title.set.pptp,Imposta connessione con nome utente e password (PPTP)
#From:.hostname.eg,(e.g.: me.mydomain.net)
.hostname.eg,(per esempio: me.mydomain.net)
#From:wwl.s4.note,Note: You will need to enter the same password as keys in this step into your wireless clients in order to enable proper wireless communication.
wwl.s4.note,Nota: per consentire la comunicazione wireless è necessario configurare le chiavi del client wireless utilizzando la stessa password.
#From:help22,Select a filter that controls access as needed for this virtual server. If you do not see the filter you need in the list of filters, go to the <a href="../Advanced/Inbound_Filter.shtml"> Advanced?&rarr;?Inbound&nbsp;Filter</a> screen and create a new filter.
help22,Selezionare un filtro che controlli l'accesso, come richiesto per questo server virtuale. Se il filtro necessario non è presente nell'elenco, accedere alla pagina <a href="../Advanced/Inbound_Filter.shtml">Avanzate&rarr;?Filtro in entrata</a> e crearne uno nuovo.
#From:wwl.alert.pv5.1,The Wireless Security Password must be 13 alphanumeric characters or 26 hex digits. You entered
wwl.alert.pv5.1,La password di sicurezza wireless deve essere costituita da 13 caratteri alfanumerici o da 26 cifre esadecimali. Inserita
#From:GW_PURE_SETWLANSETTINGS24,HNAP SetWLanSettings24 set Enabled %s, SSIDBroadcast %s, Channel %d
GW_PURE_SETWLANSETTINGS24,HNAP SetWLanSettings24 impostato Abilitato %s, SSIDBroadcast %s, Canale %d
#From:help167,Specify the LAN IP address of the LAN computer that you want to have unrestricted Internet communication. If this computer obtains its address Automatically using DHCP, then you may want to make a static reservation on the <a href="../Basic/Network.shtml">Setup &rarr; Network&nbsp;Settings</a> page so that the IP address of the DMZ computer does not change.
help167,Specificare l'indirizzo IP di LAN del computer al quale si intende concedere un accesso illimitato a Internet. Se questo computer ottiene automaticamente l'indirizzo IP dal server DHCP, è possibile accedere alla pagina <a href="../Basic/Network.shtml">Configurazione &rarr; Impostazioni di rete</a> per impostare un indirizzo IP statico prenotato. In questo modo l'indirizzo IP del computer DMZ non cambia.
#From:at.DxDSL,Detected xDSL or Other Frame Relay Network
at.DxDSL,Individuato  xDSL o Altre reti frame relay
#From:wprn.bados2,The Printer Setup Wizard supports only Windows XP/2000/98/ME operating systems. Your computer uses the <span id="wz_page_1_err_1_os">&nbsp;</span> operating system.
wprn.bados2,Il programma Printer Setup Wizard supporta esclusivamente i sistemi operativi Windows XP/2000/98/ME. Il computer utilizza il sistema operativo <span id="wz_page_1_err_1_os"> </span>.
#From:wprn.s3a,The setup executable you have just launched will display a progress bar and notify you when setup is complete. When done, click <em>Finish</em> below to close the Printer Setup wizard.
wprn.s3a,Il programma di configurazione appena lanciato visualizza una barra di avanzamento e notifica all'utente il termine del processo di configurazione. Al termine della procedura, cliccare sul pulsante <em>Fine</em> per chiudere il programma Printer Setup (Nessun suggerimento).
#From:wprn.tt10,If the setup executable did not launch automatically after downloading to your computer, you may need to open the file-download folder using a file browser and double-click on the icon labeled <em>Printer_Setup.exe.</em>
wprn.tt10,Se il programma non viene lanciato automaticamente dopo essere stato scaricato sul computer, aprire la cartella file-download e fare doppio clic sull'icona <em>Printer_Setup.exe.</em>
#From:bwn.IF,WAN Ping <a href="Inbound_Filter.shtml" onclick="return jump_if();">Inbound Filter</a>
bwn.IF,<a href="Inbound_Filter.shtml" onclick="return jump_if();">Filtro in entrata</a> WAN Ping
#From:1044a,Note, however, if the AP's settings specify "DHCP (Dynamic)" Address, and the router's DHCP server assigns a domain name to the AP, that domain name will override any name you enter here.
1044a,Nota: se le impostazioni dell'AP prevedono un indirizzo "DHCP (Dinamico)" e il server DHCP del router assegna automaticamente un nome dominio all'access point, il nome dominio inserito in questo punto verr? sovrascritto.
#From:wprn.tt6,Attempt to fix the problem with the printer, then click <em>Refresh</em> to update printer status.
wprn.tt6,Cercare di risolvere il problema della stampante e cliccare su <em>Aggiorna</em> per visualizzare lo stato aggiornato della stampante.
#From:help72,Select a schedule for the times when this rule is in effect. If you do not see the schedule you need in the list of schedules, go to the <a href="../Tools/Schedules.shtml"> Tools?&rarr;?Schedules</a> screen and create a new schedule.
help72,Selezionare una pianificazione che specifichi gli intervalli di tempo durante i quali la regola è abilitata. Se la pianificazione necessaria non è presente nell'elenco, accedere alla pagina <a href="../Tools/Schedules.shtml">Strumenti &rarr; Pianificazioni</a> e crearne una nuova.
#From:.sdi.s6,Unknown
.sdi.s6,Sconosciuto
#From:hhpt.sch,Select a schedule for when the service will be enabled. If you do not see the schedule you need in the list of schedules, go to the <a href="../Tools/Schedules.shtml" onclick="return jump_if();">Tools &rarr; Schedules</a> screen and create a new schedule.
hhpt.sch,Selezionare una pianificazione per l'abilitazione del servizio. Se la pianificazione necessaria non è presente nell'elenco, accedere alla pagina <a href="../Tools/Schedules.shtml" onclick="return jump_if();">Strumenti &rarr; Pianificazioni</a> e crearne una nuova.
#From:wprn.tt2,Enable raw TCP port printing from the <em>Print Server?</em> page under the <em>Tools</em> submenu.
wprn.tt2,Abilit? la porta TCP per la stampa raw dalla pagina <em>Server?di stampa</em> del sottomenu <em>Strumenti</em>.
#From:sl.alert.2,This log will be sent to email address
sl.alert.2,Questo log viene inviato per posta elettronica
#From:anet.wp.2,Auto 10/100/1000Mbps
anet.wp.2,Auto 10/100/1000Mbps
#From:tss.RestAll,Restore all settings to the factory defaults.
tss.RestAll,Ripristina i valori di default per tutte le impostazioni.
#From:GW_PURE_SETWANSETTINGS,HNAP SetDeviceSettings set wan mode to %S, %v/%v/%v
GW_PURE_SETWANSETTINGS,HNAP SetDeviceSettings impostato in modalit? WAN a %S, %v/%v/%v
#From:help53,Select a schedule for when this rule is in effect. If you do not see the schedule you need in the list of schedules, go to the <a href="../Tools/Schedules.shtml"> Tools?&rarr;?Schedules</a> screen and create a new schedule.
help53,Selezionare una pianificazione che specifichi gli intervalli di tempo durante i quali la regola è abilitata. Se la pianificazione necessaria non è presente nell'elenco, accedere alla pagina <a href="../Tools/Schedules.shtml">Strumenti &rarr; Pianificazioni</a> e crearne una nuova.
#From:help175,Saves the new or edited Inbound Filter Rule in the following list.
help175,Salva nel seguente elenco una nuova regola del filtro in entrata o modifica una regola esistente.
#From:help872,If you selected the On Schedule option, select one of the defined schedule rules. If you do not see the schedule you need in the list of schedules, go to the <a href="../Tools/Schedules.shtml">Tools?&rarr;?Schedules</a> screen and create a new schedule.
help872,Se si abilita l'opzione Pianificazione attiva, selezionare una delle regole di pianificazione definite. Se la pianificazione necessaria non è presente nell'elenco, accedere alla pagina <a href="../Tools/Schedules.shtml">Strumenti &rarr; Pianificazioni</a> e crearne una nuova.
#From:help785,The transmission standard being used by the client. Values are 11a, 11b, 11g, or 11n for 802.11a, 802.11b, 802.11g, or 802.11n respectively.
help785,Standard di trasmissione utilizzato dal client. I valori sono rispettivamente 11a, 11b, 11g, o 11n per 802.11a, 802.11b, 802.11g, o 802.11n.
#From:wprn.s2b,After clicking <em>Next</em>, you will be asked for permission to download an executable file. Please click <em>Run/Open</em> to allow the executable to run on your computer. If a second window appears prompting you to verify the publisher, please click <em>Run</em> again.
wprn.s2b,Cliccando su <em>Avanti</em>, viene richiesto il permesso di scaricare un file eseguibile. Cliccare su <em>Esegui/Apri</em> per consentire l'esecuzione del file sul computer. Se viene visualizzata una seconda finestra che richiede la verifica dell'editore, cliccare nuovamente su <em>Esegui</em>.
#From:wprn.intro2,The wizard will guide you through the following steps. Click <em>Next</em> to begin.
wprn.intro2,Il programma guida l'utente attraverso i seguenti passi. Cliccare su <em>Avanti</em> per cominciare.
#From:aa.alert.13,Please select a filter.
aa.alert.13,Selezionare un filtro.
#From:help890,When this option is enabled, an email will be sent to the email address configured in the email section whenever new firmware is available. You must have Email Notification enabled from the <a href="../Tools/EMail.shtml">Tools?&rarr;?Email&nbsp;Settings</a> page.
help890,Se questa opzione è abilitata, un messaggio di posta elettronica, destinato all'indirizzo configurato nella rispettiva sezione, notifica la disponibilit? di un nuovo firmware. ? necessario abilitare l'opzione Notifica per posta elettronica nella pagina <a href="../Tools/EMail.shtml">Strumenti &rarr;?Impostazioni posta elettronica</a>.
#From:help814,The IP address and, where appropriate, port number of the local application.
help814,Indirizzo IP e, se necessario, numero di porta dell'applicazione locale.
#From:help283,Time interval the machine can be idle before the PPTP connection is disconnected. The Maximum Idle Time value is only used for the "On demand" and "Manual" reconnect modes.
help283,Intervallo di tempo durante il quale il sistema può rimanere inattivo senza che la connessione PPTP venga interrotta. Il tempo di inattivit? massimo è utilizzato solo per le modalit? di riconnessione "Su richiesta" e "Manuale".
#From:sps.protdis,This printing protocol is currently disabled. You can enable it <a href="../Tools/PS.shtml" onclick="return jump_if();">here</a>.
sps.protdis,Il protocollo di stampa è attualmente disabilitato. ? possibile abilitarlo <a href="../Tools/PS.shtml" onclick="return jump_if();">qui</a>.
#From:help831,Select a filter that controls access as needed for this admin port. If you do not see the filter you need in the list of filters, go to the <a href="../Advanced/Inbound_Filter.shtml" onclick="return jump_if();">Advanced &rarr; Inbound&nbsp;Filter</a> screen and create a new filter.
help831,Selezionare un filtro che controlli l'accesso, come richiesto per questa porta di amministrazione. Se il filtro necessario non è presente nell'elenco, accedere alla pagina <a href="../Advanced/Inbound_Filter.shtml" onclick="return jump_if();">Avanzate &rarr;?Filtro in entrata</a> e crearne uno nuovo.
#From:.cantapplysettings,Insufficient Permissions
.cantapplysettings,Permessi insufficienti
#From:help39,Allows H.323 (specifically Microsoft Netmeeting) clients to communicate across NAT. Note that if you want your buddies to call you, you should also set up a virtual server for NetMeeting. Refer to the <a href="../Advanced/Virtual_Server.shtml"> Advanced?&rarr;?Virtual?Server</a> page for information on how to set up a virtual server.
help39,Abilita la comunicazione via NAT dei client H.323 (specificatamente Microsoft Netmeeting). Nota: se si desidera essere chiamati dai propri amici, è necessario configurare un server virtuale per NetMeeting. Per configurare un server virtuale, utilizzare la pagina <a href="../Advanced/Virtual_Server.shtml">Avanzate?&rarr;?Server virtuale</a>.
